Id,Label,timeset,posteos_realizados,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,indegree,outdegree,degree
88,alacr&#225;n,,4,5,0.285714,0.299466,0,2,1,3
89,Iceman2016,,2,5,0.276896,0.295117,0,0,2,2
90,Cebo,,1,0,0,0,0,0,0,0
91,Aquiles07,,1,5,0.312749,0.331316,0.000069,1,1,2
92,Megachop,,1,0,0,0,0,1,0,1
93,damian_ss,,4,5,0.314516,0.336645,0,1,2,3
94,yabran,,2,0,0,0,0,0,0,0
95,chelo,,198,4,0.45614,0.516026,0.018596,21,23,44
96,Ferchu74,,2,5,0.312625,0.331303,0.000029,2,1,3
97,nucleo duro,,19,4,0.385185,0.415064,0.002254,3,3,6
98,Surero,,2,5,0.312749,0.331316,0,0,1,1
99,Aermieliano,,1,5,0.367059,0.393376,0,1,1,2
100,Athila,,88,4,0.452174,0.498932,0.007087,12,15,27
101,seba33,,1,0,0,0,0,1,0,1
102,lalobranca1,,5,4,0.362791,0.387821,0.002066,1,3,4
103,pipioeste22,,3,5,0.269896,0.282158,0,1,1,2
104,moreh,,1,5,0.367059,0.393376,0,1,1,2
105,stolich,,1,0,0,0,0,0,0,0
106,Mickmack,,1,5,0.367681,0.394055,0,0,1,1
107,san tito,,1,0,0,0,0,0,0,0
108,Manolito,,2,0,0,0,0,0,0,0
109,Kamei,,1,0,0,0,0,0,0,0
110,mdel,,1,0,0,0,0,0,0,0
111,kosmar982,,1,0,0,0,0,1,0,1
112,victoromar,,1,0,0,0,0,1,0,1
113,Aprendiendo,,2,5,0.348993,0.368803,0,1,1,2
114,sebis17,,1,0,0,0,0,0,0,0
115,Trompis,,1,0,0,0,0,0,0,0
116,aleelputero(deputs),,2,0,0,0,0,1,0,1
117,PAPU07,,9,4,0.367925,0.400641,0.005464,8,5,13
118,cai.hernan10,,2,5,0.321649,0.341987,0.000099,2,2,4
119,Bigplayer,,2,0,0,0,0,1,0,1
120,MrArs,,2,0,0,0,0,1,0,1
121,minotero,,39,4,0.40625,0.436966,0.001167,4,4,8
122,CarlosLR,,7,5,0.357798,0.388034,0.004056,1,5,6
123,G1080,,3,0,0,0,0,1,0,1
124,AlanT,,14,4,0.374101,0.408654,0.004956,10,8,18
125,ohm,,1,0,0,0,0,0,0,0
126,mac,,3,4,0.373206,0.401175,0.00017,2,2,4
127,tom78,,13,4,0.405195,0.435363,0.000287,5,4,9
128,ukumar,,10,0,0,0,0,2,1,3
129,Javier L,,12,4,0.402062,0.430556,0.000327,3,3,6
